"age","gender","size","breed"
"Adult","Female","Medium","Abyssinian"
"Adult","Male","Extra Large","Abyssinian"
"Senior","Female","Medium","Abyssinian"
"Baby","Female","Small","Abyssinian"
"Young","Female","Medium","Abyssinian"
"Young","Male","Medium","Abyssinian"
"Adult","Female","Medium","Abyssinian"
"Adult","Male","Medium","Abyssinian"
"Baby","Female","Small","Abyssinian"
"Baby","Male","Small","Abyssinian"
"Baby","Male","Small","Abyssinian"
"Senior","Male","Medium","Abyssinian"
"Adult","Female","Medium","Abyssinian"
"Young","Male","Small","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Adult","Female","Medium","Abyssinian"
"Adult","Male","Medium","Abyssinian"
"Adult","Female","Medium","Abyssinian"
"Adult","Female","Medium","Abyssinian"
"Young","Male","Medium","Abyssinian"
"Baby","Male","Medium","Abyssinian"
"Senior","Female","Small","Abyssinian"
"Young","Male","Small","Abyssinian"
"Young","Female","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Baby","Male","Medium","Abyssinian"
"Adult","Female","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Adult","Female","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Adult","Female","Medium","Abyssinian"
"Baby","Male","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Young","Female","Medium","Abyssinian"
"Baby","Male","Medium","Abyssinian"
"Baby","Male","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Baby","Male","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Adult","Female","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Baby","Male","Medium","Abyssinian"
"Baby","Male","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Baby","Male","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Adult","Female","Medium","Abyssinian"
"Baby","Male","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Baby","Male","Medium","Abyssinian"
"Baby","Male","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Baby","Male","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Adult","Female","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Baby","Male","Medium","Abyssinian"
"Adult","Female","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Young","Female","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Young","Female","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Young","Female","Medium","Abyssinian"
"Baby","Male","Medium","Abyssinian"
"Baby","Male","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Baby","Male","Medium","Abyssinian"
"Young","Male","Small","Abyssinian"
"Adult","Male","Medium","Abyssinian"
"Young","Female","Small","Abyssinian"
"Young","Female","Medium","Abyssinian"
"Adult","Male","Medium","Abyssinian"
"Adult","Female","Small","Abyssinian"
"Adult","Male","Large","Abyssinian"
"Young","Female","Large","Abyssinian"
"Young","Male","Large","Abyssinian"
"Adult","Male","Large","Abyssinian"
"Young","Female","Small","Abyssinian"
"Young","Female","Medium","Abyssinian"
"Young","Female","Medium","Abyssinian"
"Young","Female","Small","Abyssinian"
"Baby","Female","Small","Abyssinian"
"Young","Male","Medium","Abyssinian"
"Senior","Female","Medium","Abyssinian"
"Young","Male","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Senior","Male","Large","Abyssinian"
"Baby","Male","Small","Abyssinian"
"Young","Female","Medium","Abyssinian"
"Baby","Female","Small","Abyssinian"
"Baby","Female","Small","Abyssinian"
"Young","Female","Small","Abyssinian"
"Adult","Male","Medium","Abyssinian"
"Adult","Male","Medium","Abyssinian"
"Senior","Female","Medium","Abyssinian"
"Adult","Female","Small","Abyssinian"
"Adult","Female","Medium","Abyssinian"
"Baby","Male","Medium","Abyssinian"
"Senior","Female","Medium","Abyssinian"
"Adult","Male","Medium","Abyssinian"
"Adult","Male","Small","Abyssinian"
"Young","Female","Medium","Abyssinian"
"Adult","Male","Large","Abyssinian"
"Adult","Female","Small","Abyssinian"
"Young","Female","Small","Abyssinian"
"Adult","Female","Small","Abyssinian"
"Young","Female","Small","Abyssinian"
"Senior","Male","Large","Abyssinian"
"Adult","Female","Small","Abyssinian"
"Young","Female","Medium","Abyssinian"
"Adult","Male","Medium","Abyssinian"
"Adult","Female","Medium","Abyssinian"
"Adult","Female","Medium","Abyssinian"
"Adult","Male","Large","Abyssinian"
"Adult","Male","Large","Abyssinian"
"Adult","Female","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Senior","Female","Small","Abyssinian"
"Baby","Male","Medium","Abyssinian"
"Adult","Female","Medium","Abyssinian"
"Young","Female","Large","Abyssinian"
"Young","Male","Medium","Abyssinian"
"Adult","Male","Medium","Abyssinian"
"Young","Female","Medium","Abyssinian"
"Adult","Male","Medium","Abyssinian"
"Adult","Female","Medium","Abyssinian"
"Adult","Male","Medium","Abyssinian"
"Young","Female","Medium","Abyssinian"
"Adult","Female","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Senior","Female","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Young","Male","Medium","Abyssinian"
"Young","Male","Medium","Abyssinian"
"Adult","Male","Large","Abyssinian"
"Adult","Female","Medium","Abyssinian"
"Young","Male","Medium","Abyssinian"
"Senior","Female","Medium","Abyssinian"
"Young","Female","Medium","Abyssinian"
"Young","Female","Medium","Abyssinian"
"Young","Female","Small","Abyssinian"
"Young","Male","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Senior","Female","Medium","Abyssinian"
"Adult","Female","Medium","Abyssinian"
"Young","Male","Medium","Abyssinian"
"Senior","Female","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Young","Female","Medium","Abyssinian"
"Baby","Male","Medium","Abyssinian"
"Baby","Male","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Adult","Female","Medium","Abyssinian"
"Baby","Male","Medium","Abyssinian"
"Adult","Female","Small","Abyssinian"
"Adult","Female","Medium","Abyssinian"
"Adult","Female","Medium","Abyssinian"
"Baby","Female","Small","Abyssinian"
"Adult","Female","Medium","Abyssinian"
"Senior","Male","Small","Abyssinian"
"Young","Male","Large","Abyssinian"
"Adult","Male","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Adult","Male","Medium","Abyssinian"
"Adult","Female","Medium","Abyssinian"
"Young","Female","Medium","Abyssinian"
"Young","Male","Medium","Abyssinian"
"Young","Male","Medium","Abyssinian"
"Baby","Male","Medium","Abyssinian"
"Adult","Male","Medium","Abyssinian"
"Young","Female","Small","Abyssinian"
"Baby","Male","Medium","Abyssinian"
"Adult","Female","Small","Abyssinian"
"Young","Female","Medium","Abyssinian"
"Senior","Male","Small","Abyssinian"
"Adult","Female","Small","Abyssinian"
"Baby","Male","Medium","Abyssinian"
"Adult","Female","Small","Abyssinian"
"Adult","Female","Small","Abyssinian"
"Senior","Female","Medium","Abyssinian"
"Young","Male","Medium","Abyssinian"
"Adult","Female","Small","Abyssinian"
"Young","Female","Medium","Abyssinian"
"Senior","Female","Medium","Abyssinian"
"Young","Female","Medium","Abyssinian"
"Young","Male","Medium","Abyssinian"
"Adult","Male","Medium","Abyssinian"
"Senior","Male","Medium","Abyssinian"
